기능,METHOD,URL,담당자,상태
답장 교정 (문장 단위 추천),POST,/ai/reply-suggestion,신승민,시작 전
반어 표현 분석,POST,/ai/irony-analysis,신승민,시작 전
메시지 감정 분석,POST,/ai/emotion-analysis,신승민,시작 전
