기능,METHOD,URL,담당자,상태
채팅 내역 조회,GET,/chats,신승민,시작 전
"메시지 전송 (REST, WebSocket 병행)",POST,/chats,신승민,시작 전
메시지 수정 (5분 이내),PATCH,/chats/{messageId},신승민,시작 전
메시지 삭제,DELETE,/chats/{messageId},신승민,시작 전
메시지 읽음 처리,POST,/chats/{messageId}/read,신승민,시작 전
메시지 검색,GET,/chats/search,신승민,시작 전
메시지 저장 (북마크),POST,/chats/{messageId}/bookmark,신승민,시작 전
저장 취소,DELETE,/chats/{messageId}/bookmark,신승민,시작 전
저장한 메시지(하이라이트) 모아보기,GET,/chats/bookmarks,신승민,시작 전
